"label","text","label_text"
1,"Global Voices Online Â» Alex Castro: A liberal, libertarian and libertine Brazilian blogger http://ff.im/-6izrC","political"
1,"Do the Conservatives Have a Death Wish? http://bit.ly/323Kq5","political"
0,"MFlint I've seen all of your movies and Capitalism is my favorite. Keep up the great work!","non-political"
1,"RT @AllianceAlert: * House Dems ask for civility at town halls and invoke George Washington in quest for socialism http://bit.ly/19BktL","political"
1,"RT @AdamSmithInst Quote of the week: My political opinions lean more and more towards Anarchy http://bit.ly/71NT5u &lt;Tolkien the anarchist?!","political"
0,"eeptiLamba LOL, I like quotes. Feminist, anti-men quotes.","non-political"
1,"@mystic23 I also think that most liberals don't spend a lot of time thinking about tolerating. Tolerance connotes condescension.","political"
1,"@Karoli check @RepJackKimble explains brownshirts. Conservative action plan for august recess http://bit.ly/1902Aa All mtgs disrupted","political"
1,"Finally US asks for extradition of Polanski - what were they waiting for? http://news.bbc.co.uk/1/hi/world/europe/8321927.stm #feminism","political"
1,"RT @Shoq: FUNNY! Teabagger @sanuzis quoting (but not understanding) Liberal Justice. William O Douglas. WHAT A HOOT http://bit.ly/6AO ...","political"
1,"progressives continue to fight for both ""Medicare for All"" and the hybrid public option. http://bit.ly/qe8r","political"
1,"RT @1ststarfighter RT @IAmSoSmart:RT @davegj: Anti-capitalism Propgnda aimed @ UR KIDS! http://bit.ly/NL0gd #gop #tcot #iamthemob #right","political"
1,"Rooting for the United States to fail - Northwest Progressive Institute Official Blog (blog) http://cli.gs/BSQBG","political"
1,"Another Liberal from Massachusetts Attacks Palin and Proves That He Doesnâ€™t Know What Heâ€™s Talking About http://bit.ly/1apDVO","political"
0,"om CTIA: The rise of open mobile (and congratulations Android team): [Richard Wong, a venture capitalist with.. http://bit.ly/P5wYT","non-political"
0," @pauldramos: RT @pauldramos: RT @Carivintas: Live progressive jazz 2night from 6 till 9 pm! Come jazz and joll?!?","non-political"
1,"Is your faith in the city's progressives strong enough to move mountains? How about 109-year old homes: SFAppeal http://bit.ly/M7QQO","political"
1,"Socialists have declared jihad on the Constitution and attack on several fronts","political"
0,"MFlint Have a good time mike ,Capitalism ! Whats not to like ! lol!","non-political"
0,"ve got a problem with a venture capitalist.","non-political"
0,"d me!!! RT @FightTheSmearsI wonder... http://twitter.com/mobwatch ...don't you? Please RT #tcot #tlot #conservative #gop #iamthemob #mob","non-political"
1,"RT @Joshuabradenp: The Conservative stands on the shoulders of our Founders... While the Liberal stands on their throats! #p2 #ucot @JoeNBC","political"
0,"apter 10 of Ethical Socialism is published: All comments are welcomed.Â  Click on this link to read it.&n.. http://bit.ly/6L7IJd","non-political"
1,"RE: @tvnewser Overall excellence? All this is about... is having Liberals handing out their awards to NBC, the biggest Lâ€¦ http://disq.us/px0","political"
1,"NatPost David Akin: Detainee issue? What detainee issue?: The federal Conservatives headed into.. http://cli.gs/3peqB #polhack","political"
1,"RT @GOT2SNAP: #CNN PROTEST! #TCOTCan You Hear Us Now? Liberal Media Bias Called Out! Tea P... http://bit.ly/19VJob","political"
1,"Feminism Is Key To 'Making Of A Slave' http://ur1.ca/f3lo","political"
1,"RT @Mickeleh: Who has healthcare leverage in Dem. Cong. Caucusâ€”Blue Dogs or the progressives? Good analysis from mcjoan http://bit.ly/4uCx6b","political"
1,"STAND UP FOR BECK:RT @organicsgrow P&G 513-983-1100 Progressive Christy 440-395-0135 Coleen 937-865-1624 here r #s 2 call that dropped ads","political"
1,"RT @SmartGirlNation New article:Is there room in the Republican tent for conservatives? http://tinyurl.com/ygux6cj @mkhammer @karlrove #tcot","political"
1,"There are no barriers between us (men vs women), Miss Venezuela? Really? I'm no hardcore feminist, but that's a little naive of her.","political"
1,"rt rt rt rt Video: Walter Cronkite In Defense of Liberalism: http://bit.ly/YLxVp (via @amadril @EileenLeft).. http://tinyurl.com/mcm8wl [RT]","political"
0,"hate Flo from the Progressive commercials. So fkn annoying.","non-political"
1,"The new capitalism http://bit.ly/2OJcfG #capitalism #socent","political"
1,"The Underground Conservative: Al-CNN Tries Smearing 9/12 As â€¦: 5 â€¦ 4 â€¦ 3 â€¦ 2 â€¦ 1 â€¦.. http://bit.ly/WWN4M","political"
1,"Reds under beds! RT @JaanKyle @nelsontejada oh hell yeah he was, racist as all hell. and socialist","political"
1,"RT @kasons4: @stunetii Are you frickin kidding me. <<<looney liberal>>>> #tcot #912 #iamthemob. Look, More right wing name calling","political"
0,"parently, British twitterers are flocking to defend the NHS with #welovethenhs hashtag. Brainwashed socialists.","non-political"
0,"am listening to the Tea Time with Toni No Bologny show by Socialist Squirrel on #BlogTalkRadio - http://tobtr.com/s/632863","non-political"
1,"The Sonoran Alliance: Tom Horneâ€™s liberal record: As the political prospects of Superintendent of Public Instruc.. http://bit.ly/xRoRD","political"
1,"OK the Republican party (Socialism Lite) is not standing up for the Constitution. They want to implement their plan.. NO PLAN! Jeez..","political"
1,"I thought conservatives we're champions of personal responsibility, the crux of this msg. Maybe they just hate the messenger? #hypocrisy","political"
1,"The Death of a Liberal Lion Commands ... - The ... http://bit.ly/t6tFl","political"
0,"r order at Amazon: The Art of Not Being Governed: An Anarchist History of Upland Southeast Asia (Yale Agrarian Â£16.50 http://omani.ac/97g","non-political"
1,"@AmandaCarpenter I think Conservatives owe Glenn Beck a major debt, certainly the GOP that sat on their hands and were johnny come lately.","political"
0,"e Good Communist: Elite Training and State Building in Today's China - by Frank N. Pieke - Cambridge University Press. http://j.mp/6BuZW0","non-political"
1,"http://bit.ly/Xju2q Conservative Revolutionary American Party III: '.. http://tinyurl.com/ya6dgjf http://bit.ly/Xju2q","political"
0,"just took the ""What does your hair say about you?"" quiz and got: Conservative! Try it: http://bit.ly/hYyVJ #lolquiz","non-political"
1,"But, of course, the 50m uninsured who might be saved by such reform represent a voiceless minority, silent in a conservative shadow...","political"
1,"Iowa Liberal: Health care reform is most vehemently opposed among people who think Bush was a pussy for not taki.. http://bit.ly/492Ryr","political"
1,"Is the ""C"" in ""C Street"" for ""Christian Conservative"" or ""Cultlike?"" http://bit.ly/RQjpT","political"
1,"St. Pete Times known for liberal media bias; has a ""slobbering love affair"" w/ Obama Do I need 2 cancel my sub? Is USAToday any better???","political"
1,"RT @svrgn_nation: Step back are REALLY look at situation. || Tell me. Show me evidence of all this new ""communism"".","political"
0,"nator Ted Kennedy , the indefatigable liberal icon has died http://is.gd/2z4wh","non-political"
1,"Kristin Schall from the Socialist Party USA live on AndrewAndrew SoundSound www.evr.com! Listen Live!","political"
1,"Big Government Obamaâ€™s Anti-Capitalist Policies Are Anti-Job and Therefore Anti-Recovery http://ow.ly/164qCr","political"
0,"R News: FDA warns of progressive multifocal leukoencephalopathy (PML) risk with Tysabri: The FDA cont.. http://bit.ly/ke2nc","non-political"
1,"back from vacation. Check out the new post on #polanski and #feminists. http://tinyurl.com/qwjtwd #tcot #tlot #teaparty #ocra #libertarian","political"
0,"tp://soundclick.com/share?songid=8518764 Collapse is Number 4 in all of metal on soundclick! It's number 1 in Progressive metal!","non-political"
1,"A conservative Rev Wright. http://ow.ly/pQ9n","political"
0,"tter dead than Red! RT @urbanicm @ethankaye Soccer is communist. Spinbike is merely socialist.","non-political"
0,"ufmann foundation-funded ""Capitalism and Society"" focuses on innovation and entrepreneurship. Check it out at http://www.bepress.com/cas/","non-political"
1,"Portugal's Socrates looks for coalition partners: Portugal's ruling Socialist government has begun preparing fo.. http://bit.ly/WboiE","political"
1,"RT @fredmaidment: Ah, yes. Government stupidity, in any political stripe, is always fun. #GOP #libertarian #fail #travel http://bit.ly/bLFH0","political"
1,"A polarized, divided, two party system is unsustainable. Not working. Whatever the conservatives say is immediately discredited.","political"
1,"Jerry Falwell - The conservative elite and corporate monopolies - http://bit.ly/1388hx","political"
1,"BTW Libs... the Hitler/Obama comparison=BOTH ARE SOCIALISTS. Has nothing to do with genocide. B. Frank doesn't get it! http://bit.ly/aHCA2","political"
1,"Why I'm A Conservative Republican this old but it's still great http://bit.ly/di5j1","political"
1,"Reuters: Palin: Ready to shake things up in New York - Sarah Palin on Thursday endorsed Conservative Party candidat... http://ow.ly/15WLQe","political"
1,"When liberals protest it's the highest form of patriotism. When conservatives protest it's ""manufactured anger"". CNN ...you're stupid.","political"
1,"RT @IBDeditorials: Socialism died and was reincarnated as environmentalism. http://bit.ly/4PrC2W","political"
1,"What is it about the Liberal mind that compels it to attack the messenger rather than the message? Methinks a lack of facts and evidence!","political"
1,"RT@BPTBlogWhite House Characterizes Debate over Socialism as Longstanding American History - Bill Wilson http://bit.ly/sqogY","political"
1,"@jenciTN you're not allowed to be libertarian, they believe that altruism is a sin http://bit.ly/5zP89X","political"
1,"Christians struggling in captive nations.....believers still dying at the hands of atheist communists","political"
1,"RT @Austinstumpff Fear Of A Black President: Conservative Media Drumming Up Racial Fear http://bit.ly/OfWda #birthers #racism","political"
0,"stnations @anarchists @ChinaBroker @UYGHURS Thanks for retweeting the Ainu booklet giveaway. http://bit.ly/3KA43e","non-political"
1,"An example of not being political correctness is yelling from the rooftops : OBAMA IS A COMMUNIST! It's true so YELL it!","political"
0,"imonech I'm generally liberal in deleting those no@no.com comments if they aren't constructive.","non-political"
1,"ElBaradei?s Swan Song #libertarian http://bit.ly/Gv28q","political"
1,"I think Ron Paul is the spokesman for libertarians and no1 can surpass that","political"
1,"Crooks Catching Crooks #libertarian http://bit.ly/oqsWH","political"
1,"Just Say NO to ObamaCare & Socialism http://bit.ly/IpYGS @NancyPelosi @bacaca43 @repjohnbarrow @KarlRove #tweetcongress","political"
