"","label","text","label_text"
"1",1,"Global Voices Online Â» Alex Castro: A liberal, libertarian and libertine Brazilian blogger http://ff.im/-6izrC","political"
"2",1,"Do the Conservatives Have a Death Wish? http://bit.ly/323Kq5","political"
"4",1,"RT @AllianceAlert: * House Dems ask for civility at town halls and invoke George Washington in quest for socialism http://bit.ly/19BktL","political"
"5",1,"RT @AdamSmithInst Quote of the week: My political opinions lean more and more towards Anarchy http://bit.ly/71NT5u &lt;Tolkien the anarchist?!","political"
"7",1,"@mystic23 I also think that most liberals don't spend a lot of time thinking about tolerating. Tolerance connotes condescension.","political"
"8",1,"@Karoli check @RepJackKimble explains brownshirts. Conservative action plan for august recess http://bit.ly/1902Aa All mtgs disrupted","political"
"9",1,"Finally US asks for extradition of Polanski - what were they waiting for? http://news.bbc.co.uk/1/hi/world/europe/8321927.stm #feminism","political"
"10",1,"RT @Shoq: FUNNY! Teabagger @sanuzis quoting (but not understanding) Liberal Justice. William O Douglas. WHAT A HOOT http://bit.ly/6AO ...","political"
"11",1,"progressives continue to fight for both ""Medicare for All"" and the hybrid public option. http://bit.ly/qe8r","political"
"12",1,"RT @1ststarfighter RT @IAmSoSmart:RT @davegj: Anti-capitalism Propgnda aimed @ UR KIDS! http://bit.ly/NL0gd #gop #tcot #iamthemob #right","political"
"13",1,"Rooting for the United States to fail - Northwest Progressive Institute Official Blog (blog) http://cli.gs/BSQBG","political"
"15",0,"om CTIA: The rise of open mobile (and congratulations Android team): [Richard Wong, a venture capitalist with.. http://bit.ly/P5wYT","non-political"
"16",0," @pauldramos: RT @pauldramos: RT @Carivintas: Live progressive jazz 2night from 6 till 9 pm! Come jazz and joll?!?","non-political"
"17",1,"Is your faith in the city's progressives strong enough to move mountains? How about 109-year old homes: SFAppeal http://bit.ly/M7QQO","political"
"18",1,"Socialists have declared jihad on the Constitution and attack on several fronts","political"
"19",0,"MFlint Have a good time mike ,Capitalism ! Whats not to like ! lol!","non-political"
"20",0,"ve got a problem with a venture capitalist.","non-political"
"21",0,"d me!!! RT @FightTheSmearsI wonder... http://twitter.com/mobwatch ...don't you? Please RT #tcot #tlot #conservative #gop #iamthemob #mob","non-political"
"23",0,"apter 10 of Ethical Socialism is published: All comments are welcomed.Â  Click on this link to read it.&n.. http://bit.ly/6L7IJd","non-political"
"24",1,"RE: @tvnewser Overall excellence? All this is about... is having Liberals handing out their awards to NBC, the biggest Lâ€¦ http://disq.us/px0","political"
"25",1,"NatPost David Akin: Detainee issue? What detainee issue?: The federal Conservatives headed into.. http://cli.gs/3peqB #polhack","political"
"26",1,"RT @GOT2SNAP: #CNN PROTEST! #TCOTCan You Hear Us Now? Liberal Media Bias Called Out! Tea P... http://bit.ly/19VJob","political"
